rid,date,eid,cid,rate
180,2022-04-05 19:00:00,1,BTC,45821.98
181,2022-04-05 19:00:00,2,BTC,45796.51
182,2022-04-05 19:00:00,3,BTC,45822.22
183,2022-04-05 19:00:00,4,BTC,45821.0
184,2022-04-05 19:00:00,5,BTC,45831.0
185,2022-04-05 19:00:00,1,ETH,3441.04
186,2022-04-05 19:00:00,2,ETH,3441.81
187,2022-04-05 19:00:00,3,ETH,3440.96
188,2022-04-05 19:00:00,4,ETH,3440.92
189,2022-04-05 19:00:00,5,ETH,3441.1
190,2022-04-05 19:00:00,1,LTC,124.3
191,2022-04-05 19:00:00,2,LTC,124.41
192,2022-04-05 19:00:00,3,LTC,124.37
193,2022-04-05 19:00:00,4,LTC,124.37
194,2022-04-05 19:00:00,5,LTC,124.41
195,2022-04-05 19:00:00,1,LUNA,116.91
196,2022-04-05 19:00:00,2,LUNA,116.77
197,2022-04-05 19:00:00,3,LUNA,116.9309
198,2022-04-05 19:00:00,4,LUNA,116.98
199,2022-04-05 19:00:00,5,LUNA,116.87
200,2022-04-05 19:00:00,1,ADA,1.177
201,2022-04-05 19:00:00,2,ADA,1.1764
202,2022-04-05 19:00:00,3,ADA,1.178049
203,2022-04-05 19:00:00,4,ADA,1.178026
204,2022-04-05 19:00:00,5,ADA,1.177275
205,2022-04-05 19:00:00,1,DOT,22.09
206,2022-04-05 19:00:00,2,DOT,22.1
207,2022-04-05 19:00:00,3,DOT,22.0897
208,2022-04-05 19:00:00,4,DOT,22.0956
209,2022-04-05 19:00:00,5,DOT,22.107
210,2022-04-05 20:00:00,1,BTC,45228.84
211,2022-04-05 20:00:00,2,BTC,45252.32
212,2022-04-05 20:00:00,3,BTC,45224.15
213,2022-04-05 20:00:00,4,BTC,45260.0
214,2022-04-05 20:00:00,5,BTC,45229.0
215,2022-04-05 20:00:00,1,ETH,3343.36
216,2022-04-05 20:00:00,2,ETH,3350.93
217,2022-04-05 20:00:00,3,ETH,3342.58
218,2022-04-05 20:00:00,4,ETH,3347.65
219,2022-04-05 20:00:00,5,ETH,3341.5
220,2022-04-05 20:00:00,1,LTC,121.6
221,2022-04-05 20:00:00,2,LTC,121.72
222,2022-04-05 20:00:00,3,LTC,121.61
223,2022-04-05 20:00:00,4,LTC,121.76
224,2022-04-05 20:00:00,5,LTC,121.655
225,2022-04-05 20:00:00,1,LUNA,115.44
226,2022-04-05 20:00:00,2,LUNA,115.79
227,2022-04-05 20:00:00,3,LUNA,115.4069
228,2022-04-05 20:00:00,4,LUNA,115.61
229,2022-04-05 20:00:00,5,LUNA,115.43
230,2022-04-05 20:00:00,1,ADA,1.161
231,2022-04-05 20:00:00,2,ADA,1.1636
232,2022-04-05 20:00:00,3,ADA,1.161229
233,2022-04-05 20:00:00,4,ADA,1.161763
234,2022-04-05 20:00:00,5,ADA,1.16107
235,2022-04-05 20:00:00,1,DOT,21.63
236,2022-04-05 20:00:00,2,DOT,21.66
237,2022-04-05 20:00:00,3,DOT,21.6244
238,2022-04-05 20:00:00,4,DOT,21.6428
239,2022-04-05 20:00:00,5,DOT,21.617
240,2022-04-05 21:00:00,1,BTC,45160.49
241,2022-04-05 21:00:00,2,BTC,45196.81
242,2022-04-05 21:00:00,3,BTC,45153.12
243,2022-04-05 21:00:00,4,BTC,45188.8
244,2022-04-05 21:00:00,5,BTC,45165.0
245,2022-04-05 21:00:00,1,ETH,3336.37
246,2022-04-05 21:00:00,2,ETH,3339.76
247,2022-04-05 21:00:00,3,ETH,3336.71
248,2022-04-05 21:00:00,4,ETH,3340.0
249,2022-04-05 21:00:00,5,ETH,3337.2
250,2022-04-05 21:00:00,1,LTC,119.6
251,2022-04-05 21:00:00,2,LTC,119.73
252,2022-04-05 21:00:00,3,LTC,119.61
253,2022-04-05 21:00:00,4,LTC,119.69
254,2022-04-05 21:00:00,5,LTC,119.615
255,2022-04-05 21:00:00,1,LUNA,117.77
256,2022-04-05 21:00:00,2,LUNA,117.96
257,2022-04-05 21:00:00,3,LUNA,117.823
258,2022-04-05 21:00:00,4,LUNA,117.99
259,2022-04-05 21:00:00,5,LUNA,117.83
260,2022-04-05 21:00:00,1,ADA,1.152
261,2022-04-05 21:00:00,2,ADA,1.1546
262,2022-04-05 21:00:00,3,ADA,1.152362
263,2022-04-05 21:00:00,4,ADA,1.152051
264,2022-04-05 21:00:00,5,ADA,1.151325
265,2022-04-05 21:00:00,1,DOT,21.36
266,2022-04-05 21:00:00,2,DOT,21.38
267,2022-04-05 21:00:00,3,DOT,21.3505
268,2022-04-05 21:00:00,4,DOT,21.3747
269,2022-04-05 21:00:00,5,DOT,21.373
270,2022-04-05 22:00:00,1,BTC,45262.01
271,2022-04-05 22:00:00,2,BTC,45280.23
272,2022-04-05 22:00:00,3,BTC,45257.49
273,2022-04-05 22:00:00,4,BTC,45275.1
274,2022-04-05 22:00:00,5,BTC,45269.0
275,2022-04-05 22:00:00,1,ETH,3345.0
276,2022-04-05 22:00:00,2,ETH,3345.76
277,2022-04-05 22:00:00,3,ETH,3343.87
278,2022-04-05 22:00:00,4,ETH,3345.63
279,2022-04-05 22:00:00,5,ETH,3344.4
280,2022-04-05 22:00:00,1,LTC,119.8
281,2022-04-05 22:00:00,2,LTC,119.88
282,2022-04-05 22:00:00,3,LTC,119.7
283,2022-04-05 22:00:00,4,LTC,119.82
284,2022-04-05 22:00:00,5,LTC,119.85
285,2022-04-05 22:00:00,1,LUNA,117.34
286,2022-04-05 22:00:00,2,LUNA,117.57
287,2022-04-05 22:00:00,3,LUNA,117.3637
288,2022-04-05 22:00:00,4,LUNA,117.5
289,2022-04-05 22:00:00,5,LUNA,117.46
290,2022-04-05 22:00:00,1,ADA,1.14
291,2022-04-05 22:00:00,2,ADA,1.1429
292,2022-04-05 22:00:00,3,ADA,1.140001
293,2022-04-05 22:00:00,4,ADA,1.141746
294,2022-04-05 22:00:00,5,ADA,1.1395
295,2022-04-05 22:00:00,1,DOT,21.43
296,2022-04-05 22:00:00,2,DOT,21.47
297,2022-04-05 22:00:00,3,DOT,21.4391
298,2022-04-05 22:00:00,4,DOT,21.4529
299,2022-04-05 22:00:00,5,DOT,21.445
300,2022-04-06 00:00:00,1,BTC,45243.53
301,2022-04-06 00:00:00,2,BTC,45178.21
302,2022-04-06 00:00:00,3,BTC,45244.84
303,2022-04-06 00:00:00,4,BTC,45235.0
304,2022-04-06 00:00:00,5,BTC,45256.0
305,2022-04-06 00:00:00,1,ETH,3343.73
306,2022-04-06 00:00:00,2,ETH,3339.73
307,2022-04-06 00:00:00,3,ETH,3343.81
308,2022-04-06 00:00:00,4,ETH,3341.01
309,2022-04-06 00:00:00,5,ETH,3344.3
310,2022-04-06 00:00:00,1,LTC,120.1
311,2022-04-06 00:00:00,2,LTC,119.98
312,2022-04-06 00:00:00,3,LTC,120.08
313,2022-04-06 00:00:00,4,LTC,120.08
314,2022-04-06 00:00:00,5,LTC,120.045
315,2022-04-06 00:00:00,1,LUNA,116.86
316,2022-04-06 00:00:00,2,LUNA,116.68
317,2022-04-06 00:00:00,3,LUNA,116.8377
318,2022-04-06 00:00:00,4,LUNA,116.65
319,2022-04-06 00:00:00,5,LUNA,116.82
320,2022-04-06 00:00:00,1,ADA,1.139
321,2022-04-06 00:00:00,2,ADA,1.139
322,2022-04-06 00:00:00,3,ADA,1.139763
323,2022-04-06 00:00:00,4,ADA,1.139408
324,2022-04-06 00:00:00,5,ADA,1.13922
325,2022-04-06 00:00:00,1,DOT,21.49
326,2022-04-06 00:00:00,2,DOT,21.47
327,2022-04-06 00:00:00,3,DOT,21.4861
328,2022-04-06 00:00:00,4,DOT,21.4653
329,2022-04-06 00:00:00,5,DOT,21.455
330,2022-04-06 01:00:00,1,BTC,45333.23
331,2022-04-06 01:00:00,2,BTC,45354.44
332,2022-04-06 01:00:00,3,BTC,45330.2
333,2022-04-06 01:00:00,4,BTC,45351.6
334,2022-04-06 01:00:00,5,BTC,45342.0
335,2022-04-06 01:00:00,1,ETH,3359.98
336,2022-04-06 01:00:00,2,ETH,3360.54
337,2022-04-06 01:00:00,3,ETH,3359.22
338,2022-04-06 01:00:00,4,ETH,3359.0
339,2022-04-06 01:00:00,5,ETH,3360.2
340,2022-04-06 01:00:00,1,LTC,120.1
341,2022-04-06 01:00:00,2,LTC,120.12
342,2022-04-06 01:00:00,3,LTC,119.99
343,2022-04-06 01:00:00,4,LTC,120.12
344,2022-04-06 01:00:00,5,LTC,120.005
345,2022-04-06 01:00:00,1,LUNA,117.33
346,2022-04-06 01:00:00,2,LUNA,117.25
347,2022-04-06 01:00:00,3,LUNA,117.3259
348,2022-04-06 01:00:00,4,LUNA,117.24
349,2022-04-06 01:00:00,5,LUNA,117.32
350,2022-04-06 01:00:00,1,ADA,1.148
351,2022-04-06 01:00:00,2,ADA,1.1483
352,2022-04-06 01:00:00,3,ADA,1.147108
353,2022-04-06 01:00:00,4,ADA,1.14698
354,2022-04-06 01:00:00,5,ADA,1.146685
355,2022-04-06 01:00:00,1,DOT,21.6
356,2022-04-06 01:00:00,2,DOT,21.6
357,2022-04-06 01:00:00,3,DOT,21.5881
358,2022-04-06 01:00:00,4,DOT,21.5761
359,2022-04-06 01:00:00,5,DOT,21.589
360,2022-04-06 02:00:00,1,BTC,45386.75
361,2022-04-06 02:00:00,2,BTC,45361.22
362,2022-04-06 02:00:00,3,BTC,45387.46
363,2022-04-06 02:00:00,4,BTC,45390.0
364,2022-04-06 02:00:00,5,BTC,45388.0
365,2022-04-06 02:00:00,1,ETH,3369.17
366,2022-04-06 02:00:00,2,ETH,3362.4
367,2022-04-06 02:00:00,3,ETH,3368.79
368,2022-04-06 02:00:00,4,ETH,3367.48
369,2022-04-06 02:00:00,5,ETH,3369.4
370,2022-04-06 02:00:00,1,LTC,120.3
371,2022-04-06 02:00:00,2,LTC,120.16
372,2022-04-06 02:00:00,3,LTC,120.23
373,2022-04-06 02:00:00,4,LTC,120.29
374,2022-04-06 02:00:00,5,LTC,120.22
375,2022-04-06 02:00:00,1,LUNA,116.97
376,2022-04-06 02:00:00,2,LUNA,116.98
377,2022-04-06 02:00:00,3,LUNA,116.9952
378,2022-04-06 02:00:00,4,LUNA,116.95
379,2022-04-06 02:00:00,5,LUNA,116.98
380,2022-04-06 02:00:00,1,ADA,1.158
381,2022-04-06 02:00:00,2,ADA,1.1576
382,2022-04-06 02:00:00,3,ADA,1.15724
383,2022-04-06 02:00:00,4,ADA,1.157882
384,2022-04-06 02:00:00,5,ADA,1.15664
385,2022-04-06 02:00:00,1,DOT,21.64
386,2022-04-06 02:00:00,2,DOT,21.63
387,2022-04-06 02:00:00,3,DOT,21.6423
388,2022-04-06 02:00:00,4,DOT,21.6462
389,2022-04-06 02:00:00,5,DOT,21.627
390,2022-04-06 03:00:00,1,BTC,45466.96
391,2022-04-06 03:00:00,2,BTC,45472.26
392,2022-04-06 03:00:00,3,BTC,45471.97
393,2022-04-06 03:00:00,4,BTC,45479.2
394,2022-04-06 03:00:00,5,BTC,45480.0
395,2022-04-06 03:00:00,1,ETH,3367.69
396,2022-04-06 03:00:00,2,ETH,3368.96
397,2022-04-06 03:00:00,3,ETH,3367.03
398,2022-04-06 03:00:00,4,ETH,3369.59
399,2022-04-06 03:00:00,5,ETH,3367.8
400,2022-04-06 03:00:00,1,LTC,121.0
401,2022-04-06 03:00:00,2,LTC,120.98
402,2022-04-06 03:00:00,3,LTC,120.95
403,2022-04-06 03:00:00,4,LTC,120.92
404,2022-04-06 03:00:00,5,LTC,120.95
405,2022-04-06 03:00:00,1,LUNA,117.46
